我	1000000	pron
你	1000000	pron
他	1000000	pron
她	1000000	pron
它	1000000	pron
我们	1000000	pron
你们	1000000	pron
他们	1000000	pron
她们	1000000	pron
它们	1000000	pron
这	1000000	pron
那	1000000	pron
这个	1000000	pron
那个	1000000	pron
这些	1000000	pron
那些	1000000	pron
是	1000000	v
不是	1000000	v
有	1000000	v
没有	1000000	v
在	1000000	v
不在	1000000	v
会	1000000	v
不会	1000000	v
能	1000000	v
不能	1000000	v
要	1000000	v
不要	1000000	v
想	1000000	v
不想	1000000	v
说	1000000	v
不说	1000000	v
看	1000000	v
不看	1000000	v
听	1000000	v
不听	1000000	v
做	1000000	v
不做	1000000	v
去	1000000	v
不去	1000000	v
来	1000000	v
不来	1000000	v
走	1000000	v
不走	1000000	v
跑	1000000	v
不跑	1000000	v
吃	1000000	v
不吃	1000000	v
喝	1000000	v
不喝	1000000	v
睡	1000000	v
不睡	1000000	v
工作	1000000	v
学习	1000000	v
读书	1000000	v
写字	1000000	v
说话	1000000	v
思考	1000000	v
理解	1000000	v
知道	1000000	v
明白	1000000	v
清楚	1000000	v
正确	1000000	adj
错误	1000000	adj
好	1000000	adj
坏	1000000	adj
大	1000000	adj
小	1000000	adj
高	1000000	adj
低	1000000	adj
长	1000000	adj
短	1000000	adj
快	1000000	adj
慢	1000000	adj
新	1000000	adj
旧	1000000	adj
热	1000000	adj
冷	1000000	adj
红	1000000	adj
绿	1000000	adj
蓝	1000000	adj
黄	1000000	adj
白	1000000	adj
黑	1000000	adj
一	1000000	num
二	1000000	num
三	1000000	num
四	1000000	num
五	1000000	num
六	1000000	num
七	1000000	num
八	1000000	num
九	1000000	num
十	1000000	num
百	1000000	num
千	1000000	num
万	1000000	num
亿	1000000	num
个	1000000	clf
只	1000000	clf
条	1000000	clf
张	1000000	clf
本	1000000	clf
片	1000000	clf
块	1000000	clf
颗	1000000	clf
粒	1000000	clf
滴	1000000	clf
杯	1000000	clf
瓶	1000000	clf
盒	1000000	clf
包	1000000	clf
袋	1000000	clf
箱	1000000	clf
桶	1000000	clf
罐	1000000	clf
盘	1000000	clf
碗	1000000	clf
筷子	1000000	n
勺子	1000000	n
叉子	1000000	n
刀	1000000	n
剪子	1000000	n
尺子	1000000	n
笔	1000000	n
纸	1000000	n
书	1000000	n
本子	1000000	n
桌子	1000000	n
椅子	1000000	n
床	1000000	n
沙发	1000000	n
电视	1000000	n
电脑	1000000	n
手机	1000000	n
电话	1000000	n
相机	1000000	n
手表	1000000	n
眼镜	1000000	n
帽子	1000000	n
衣服	1000000	n
裤子	1000000	n
鞋子	1000000	n
袜子	1000000	n
手套	1000000	n
围巾	1000000	n
钱包	1000000	n
钥匙	1000000	n
雨伞	1000000	n
书包	1000000	n
公文包	1000000	n
行李箱	1000000	n
汽车	1000000	n
自行车	1000000	n
摩托车	1000000	n
公交车	1000000	n
地铁	1000000	n
火车	1000000	n
飞机	1000000	n
轮船	1000000	n
医院	1000000	n
学校	1000000	n
公司	1000000	n
商店	1000000	n
银行	1000000	n
邮局	1000000	n
警察局	1000000	n
消防局	1000000	n
图书馆	1000000	n
博物馆	1000000	n
公园	1000000	n
动物园	1000000	n
电影院	1000000	n
剧院	1000000	n
体育馆	1000000	n
游泳池	1000000	n
健身房	1000000	n
餐厅	1000000	n
咖啡厅	1000000	n
酒吧	1000000	n
酒店	1000000	n
旅馆	1000000	n
公寓	1000000	n
别墅	1000000	n
房子	1000000	n
房间	1000000	n
厨房	1000000	n
卫生间	1000000	n
客厅	1000000	n
卧室	1000000	n
书房	1000000	n
阳台	1000000	n
花园	1000000	n
院子	1000000	n
街道	1000000	n
马路	1000000	n
桥	1000000	n
隧道	1000000	n
山	1000000	n
河	1000000	n
湖	1000000	n
海	1000000	n
岛	1000000	n
森林	1000000	n
草原	1000000	n
沙漠	1000000	n
城市	1000000	n
乡村	1000000	n
国家	1000000	n
省份	1000000	n
城市	1000000	n
县	1000000	n
镇	1000000	n
村	1000000	n
街道	1000000	n
社区	1000000	n
小区	1000000	n
家庭	1000000	n
父母	1000000	n
孩子	1000000	n
兄弟	1000000	n
姐妹	1000000	n
爷爷	1000000	n
奶奶	1000000	n
外公	1000000	n
外婆	1000000	n
叔叔	1000000	n
阿姨	1000000	n
舅舅	1000000	n
舅妈	1000000	n
表哥	1000000	n
表姐	1000000	n
朋友	1000000	n
同学	1000000	n
同事	1000000	n
邻居	1000000	n
老师	1000000	n
学生	1000000	n
医生	1000000	n
护士	1000000	n
警察	1000000	n
消防员	1000000	n
司机	1000000	n
厨师	1000000	n
服务员	1000000	n
售货员	1000000	n
收银员	1000000	n
保安	1000000	n
清洁工	1000000	n
农民	1000000	n
工人	1000000	n
工程师	1000000	n
设计师	1000000	n
程序员	1000000	n
会计师	1000000	n
律师	1000000	n
记者	1000000	n
作家	1000000	n
画家	1000000	n
音乐家	1000000	n
演员	1000000	n
导演	1000000	n
摄影师	1000000	n
翻译	1000000	n
导游	1000000	n
销售员	1000000	n
经理	1000000	n
老板	1000000	n
总裁	1000000	n
董事长	1000000	n
总统	1000000	n
总理	1000000	n
部长	1000000	n
市长	1000000	n
县长	1000000	n
村长	1000000	n
队长	1000000	n
组长	1000000	n
班长	1000000	n 
